nombre_original,tiene_corchete,atributo_extraido,concepto,concepto_bracket,concepto_final,nombre_limpio,pct_missing
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo],TRUE,Facilidad para coordinar y realizar devolución de equipos en arriendo,NA,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,73.1
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Servicios de ScaffCo en general],TRUE,Servicios de ScaffCo en general,NA,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general,73.1
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Productos de ScaffCo en general],TRUE,Productos de ScaffCo en general,NA,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general,73.1
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Diseño de Proyectos]",TRUE,Calidad del servicio de Diseño de Proyectos,NA,calidad_del_servicio_de_diseno_de_proyectos,calidad_del_servicio_de_diseno_de_proyectos,calidad_del_servicio_de_diseno_de_proyectos,52
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Ingeniería]",TRUE,Calidad del servicio de Ingeniería,NA,calidad_del_servicio_de_ingenieria,calidad_del_servicio_de_ingenieria,calidad_del_servicio_de_ingenieria,52
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Inducción Técnica]",TRUE,Calidad del servicio de Inducción Técnica,NA,calidad_del_servicio_de_induccion_tecnica,calidad_del_servicio_de_induccion_tecnica,calidad_del_servicio_de_induccion_tecnica,52
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Visita Técnica]",TRUE,Calidad del servicio de Visita Técnica,NA,calidad_del_servicio_de_visita_tecnica,calidad_del_servicio_de_visita_tecnica,calidad_del_servicio_de_visita_tecnica,52
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Claridad del Informe de la Visita Técnica]",TRUE,Claridad del Informe de la Visita Técnica,NA,claridad_del_informe_de_la_visita_tecnica,claridad_del_informe_de_la_visita_tecnica,claridad_del_informe_de_la_visita_tecnica,52
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Amabilidad del Equipo Técnico]",TRUE,Amabilidad del Equipo Técnico,NA,amabilidad_del_equipo_tecnico,amabilidad_del_equipo_tecnico,amabilidad_del_equipo_tecnico,52
Claridad de la información de los Estados de Pago.,FALSE,NA,claridad_estados_pago,NA,claridad_estados_pago,claridad_estados_pago,74.7
¿Conoce WebScaff? El servicio de Información en línea de su obra de arriendo ScaffCo.,FALSE,NA,conoce_webscaff,NA,conoce_webscaff,conoce_webscaff,52.2
¿Ha usado WebScaff?,FALSE,NA,uso_webscaff,NA,uso_webscaff,uso_webscaff,47.3
Evalúe su satisfacción con WebScaff.,FALSE,NA,satisfaccion_webscaff,NA,satisfaccion_webscaff,satisfaccion_webscaff,79.4
¿Conoce CapScaff? El servicio de Inducción virtual interactiva de armado de andamios ScaffCo.,FALSE,NA,conoce_capscaff,NA,conoce_capscaff,conoce_capscaff,52.2
¿Ha usado CapScaff?,FALSE,NA,uso_capscaff,NA,uso_capscaff,uso_capscaff,73.3
Evalúe su satisfacción con CapScaff.,FALSE,NA,satisfaccion_capscaff,NA,satisfaccion_capscaff,satisfaccion_capscaff,91.6
"De los siguientes atributos de ScaffCo, elija los 3 más importantes para Ud.",FALSE,NA,atributos_importantes,NA,atributos_importantes,atributos_importantes,13.6
¿Qué tan fácil fue resolver sus solicitudes o problemas con ScaffCo?,FALSE,NA,facilidad_resolucion,NA,facilidad_resolucion,facilidad_resolucion,15
Indique 3 palabras con las que identifica a la marca ScaffCo.,FALSE,NA,palabras_marca,NA,palabras_marca,palabras_marca,53.2
"Considerando el precio, servicio y productos que recibe de ScaffCo ¿Qué nota le pondría usted a ScaffCo en cuanto a esta relación precio-calidad?",FALSE,NA,precio_calidad,NA,precio_calidad,precio_calidad,15
"¿Tiene algún comentario o sugerencia para nosotros? Indique cualquier punto que pudiera no estar cubierto en esta encuesta, recuerde que los mismos son anónimos.",FALSE,NA,comentario_sugerencia,NA,comentario_sugerencia,comentario_sugerencia,76.1
¿Le gustaría recibir el newsletter de ScaffCo?,FALSE,NA,newsletter,NA,newsletter,newsletter,17.1
Periodo,FALSE,NA,periodo,NA,periodo,periodo,0
¿En cuál de estos sectores presta servicios tu empresa?(Puedes seleccionar más de una opción si corresponde),FALSE,NA,sector_empresa,NA,sector_empresa,sector_empresa,75.6
"¿En qué región del país se encontraba el proyecto para el cual su empresa contrató productos o servicios de ScaffCo?(Si ha trabajado en más de una región, por favor indique la principal)",FALSE,NA,region_proyecto,NA,region_proyecto,region_proyecto,30.2
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Evaluación general de la satisfacción con la atención comercial],TRUE,Evaluación general de la satisfacción con la atención comercial,NA,evaluacion_general_de_la_satisfaccion_con_la_atencion_comercial,evaluacion_general_de_la_satisfaccion_con_la_atencion_comercial,evaluacion_general_de_la_satisfaccion_con_la_atencion_comercial,76.1
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad en la información de planos e informes entregados],TRUE,Claridad en la información de planos e informes entregados,NA,claridad_en_la_informacion_de_planos_e_informes_entregados,claridad_en_la_informacion_de_planos_e_informes_entregados,claridad_en_la_informacion_de_planos_e_informes_entregados,76.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Manejo de cobros ante productos dañados],TRUE,Manejo de cobros ante productos dañados,NA,manejo_de_cobros_ante_productos_danados,manejo_de_cobros_ante_productos_danados,manejo_de_cobros_ante_productos_danados,76.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Coincidencia entre el producto solicitado y el producto recibido],TRUE,Coincidencia entre el producto solicitado y el producto recibido,NA,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,76.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo],TRUE,Facilidad para coordinar y realizar devolución de equipos en arriendo,NA,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo_v1,76.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Evaluación general de los procesos operacionales],TRUE,Evaluación general de los procesos operacionales,NA,evaluacion_general_de_los_procesos_operacionales,evaluacion_general_de_los_procesos_operacionales,evaluacion_general_de_los_procesos_operacionales,76.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Seguridad de sus andamios],TRUE,Seguridad de sus andamios,NA,seguridad_de_sus_andamios,seguridad_de_sus_andamios,seguridad_de_sus_andamios,76.8
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Disponibilidad de productos y accesorios],TRUE,Disponibilidad de productos y accesorios,NA,disponibilidad_de_productos_y_accesorios,disponibilidad_de_productos_y_accesorios,disponibilidad_de_productos_y_accesorios,76.8
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Coincidencia entre el producto solicitado y el producto recibido].1,TRUE,Coincidencia entre el producto solicitado y el producto recibido,NA,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido_v1,76.8
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Efectividad del control de calidad aplicado antes del despacho del material],TRUE,Efectividad del control de calidad aplicado antes del despacho del material,NA,efectividad_del_control_de_calidad_aplicado_antes_del_despacho_del_material,efectividad_del_control_de_calidad_aplicado_antes_del_despacho_del_material,efectividad_del_control_de_calidad_aplicado_antes_del_despacho_del_material,76.8
"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",TRUE,"Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)",NA,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material_v1,76.8
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo].1,TRUE,Facilidad para coordinar y realizar devolución de equipos en arriendo,NA,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo_v2,76.8
Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Servicios de ScaffCo en general],TRUE,Servicios de ScaffCo en general,NA,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general_v1,76.8
Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Productos de ScaffCo en general],TRUE,Productos de ScaffCo en general,NA,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general_v1,76.8
Evalúe la claridad de la información de los Estados de Pago.,FALSE,NA,claridad_estados_pago,NA,claridad_estados_pago,claridad_estados_pago_v1,78.5
¿Cuál es su rol dentro del proyecto? (Seleccione el que más se aproxime),FALSE,NA,rol_proyecto,NA,rol_proyecto,rol_proyecto_v1,54.6
¿En cuál de estos sectores presta servicios su empresa?(Puede seleccionar más de una opción si corresponde),FALSE,NA,sector_empresa,NA,sector_empresa,sector_empresa_v1,54.6
"Seleccione cuando fue su última interacción con el equipo ScaffCo (Entiéndase por interacción cualquier tipo de comunicación ya sea escrita, telefónica o presencial, o cotización, servicios prestados, o cualquier otro tipo de contacto con la empresa)",FALSE,NA,ultima_interaccion,NA,ultima_interaccion,ultima_interaccion,54.6
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Amabilidad en la atención comercial],TRUE,Amabilidad en la atención comercial,NA,amabilidad_en_la_atencion_comercial,amabilidad_en_la_atencion_comercial,amabilidad_en_la_atencion_comercial_v1,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Efectividad en la atención comercial],TRUE,Efectividad en la atención comercial,NA,efectividad_en_la_atencion_comercial,efectividad_en_la_atencion_comercial,efectividad_en_la_atencion_comercial_v1,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Tiempo de respuesta en las cotizaciones solicitadas],TRUE,Tiempo de respuesta en las cotizaciones solicitadas,NA,tiempo_de_respuesta_en_las_cotizaciones_solicitadas,tiempo_de_respuesta_en_las_cotizaciones_solicitadas,tiempo_de_respuesta_en_las_cotizaciones_solicitadas_v1,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad de la información en cotizaciones],TRUE,Claridad de la información en cotizaciones,NA,claridad_de_la_informacion_en_cotizaciones,claridad_de_la_informacion_en_cotizaciones,claridad_de_la_informacion_en_cotizaciones_v1,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad en la información de planos e informes entregados],TRUE,Claridad en la información de planos e informes entregados,NA,claridad_en_la_informacion_de_planos_e_informes_entregados,claridad_en_la_informacion_de_planos_e_informes_entregados,claridad_en_la_informacion_de_planos_e_informes_entregados_v1,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad en la información de los estados de pago],TRUE,Claridad en la información de los estados de pago,NA,claridad_en_la_informacion_de_los_estados_de_pago,claridad_en_la_informacion_de_los_estados_de_pago,claridad_en_la_informacion_de_los_estados_de_pago,57.8
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Satisfacción con la atención comercial en general],TRUE,Satisfacción con la atención comercial en general,NA,satisfaccion_con_la_atencion_comercial_en_general,satisfaccion_con_la_atencion_comercial_en_general,satisfaccion_con_la_atencion_comercial_en_general,57.8
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Calidad de productos entregados],TRUE,Calidad de productos entregados,NA,calidad_de_productos_entregados,calidad_de_productos_entregados,calidad_de_productos_entregados,59.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Disponibilidad de productos y accesorios],TRUE,Disponibilidad de productos y accesorios,NA,disponibilidad_de_productos_y_accesorios,disponibilidad_de_productos_y_accesorios,disponibilidad_de_productos_y_accesorios_v1,59.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Coincidencia entre el producto solicitado y el producto recibido],TRUE,Coincidencia entre el producto solicitado y el producto recibido,NA,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,coincidencia_entre_el_producto_solicitado_y_el_producto_recibido_v2,59.3
"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",TRUE,"Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)",NA,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material_v2,59.3
Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Facilidad para coordinar y realizar devolución de equipos en arriendo],TRUE,Facilidad para coordinar y realizar devolución de equipos en arriendo,NA,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo_v3,59.3
"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Envío, presentación y claridad de informes de material dañado]",TRUE,"Envío, presentación y claridad de informes de material dañado",NA,envio_presentacion_y_claridad_de_informes_de_material_danado,envio_presentacion_y_claridad_de_informes_de_material_danado,envio_presentacion_y_claridad_de_informes_de_material_danado,59.3
"Considerando todos los aspectos antes mencionados, ¿Cuál diría usted que es su nivel de satisfacción con los servicios logísticos en general?",FALSE,NA,satisfaccion_logistica_general,NA,satisfaccion_logistica_general,satisfaccion_logistica_general,59.3
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Diseño de Proyectos]",TRUE,Calidad del servicio de Diseño de Proyectos,NA,calidad_del_servicio_de_diseno_de_proyectos,calidad_del_servicio_de_diseno_de_proyectos,calidad_del_servicio_de_diseno_de_proyectos_v1,60.4
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Ingeniería]",TRUE,Calidad del servicio de Ingeniería,NA,calidad_del_servicio_de_ingenieria,calidad_del_servicio_de_ingenieria,calidad_del_servicio_de_ingenieria_v1,60.4
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Inducción Técnica]",TRUE,Calidad del servicio de Inducción Técnica,NA,calidad_del_servicio_de_induccion_tecnica,calidad_del_servicio_de_induccion_tecnica,calidad_del_servicio_de_induccion_tecnica_v1,60.4
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Visita Técnica]",TRUE,Calidad del servicio de Visita Técnica,NA,calidad_del_servicio_de_visita_tecnica,calidad_del_servicio_de_visita_tecnica,calidad_del_servicio_de_visita_tecnica_v1,60.4
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Claridad del Informe de la Visita Técnica]",TRUE,Claridad del Informe de la Visita Técnica,NA,claridad_del_informe_de_la_visita_tecnica,claridad_del_informe_de_la_visita_tecnica,claridad_del_informe_de_la_visita_tecnica_v1,60.4
"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Amabilidad del Equipo Técnico]",TRUE,Amabilidad del Equipo Técnico,NA,amabilidad_del_equipo_tecnico,amabilidad_del_equipo_tecnico,amabilidad_del_equipo_tecnico_v1,60.4
"Considerando todos los aspectos recién mencionados, ¿Cuál diría usted que es su nivel de satisfacción con los servicios de Asesoría Técnica en general?",FALSE,NA,satisfaccion_asesoria_general,NA,satisfaccion_asesoria_general,satisfaccion_asesoria_general,60.4
¿Conoce WebScaff? (El servicio de información en línea de su obra de arriendo ScaffCo),FALSE,NA,conoce_webscaff,NA,conoce_webscaff,conoce_webscaff_v1,60.4
¿Nos puede comentar por qué no ha usado WebScaff?(Marque todas las que correspondan),FALSE,NA,motivo_no_uso_webscaff,NA,motivo_no_uso_webscaff,motivo_no_uso_webscaff,92.7
Evalúe su satisfacción con WebScaff,FALSE,NA,satisfaccion_webscaff,NA,satisfaccion_webscaff,satisfaccion_webscaff_v1,83.6
¿Qué le gustaría agregar o mejorar en WebScaff?,FALSE,NA,mejora_webscaff,NA,mejora_webscaff,mejora_webscaff,90.6
¿Conoce CapScaff? (El servicio de Inducción virtual interactiva de armado de andamios ScaffCo),FALSE,NA,conoce_capscaff,NA,conoce_capscaff,conoce_capscaff_v1,60.4
Evalúe su satisfacción con CapScaff,FALSE,NA,satisfaccion_capscaff,NA,satisfaccion_capscaff,satisfaccion_capscaff_v1,93.7
¿Nos puede comentar por qué no ha usado CapScaff?(Marque todas las que correspondan),FALSE,NA,motivo_no_uso_capscaff,NA,motivo_no_uso_capscaff,motivo_no_uso_capscaff,94.1
¿Conoce ScanScaff? (El servicio de ScaffCo para realizar levantamientos digitales de estructuras mediante nube de puntos),FALSE,NA,conoce_scanscaff,NA,conoce_scanscaff,conoce_scanscaff,60.9
¿Ha usado ScanScaff?,FALSE,NA,uso_scanscaff,NA,uso_scanscaff,uso_scanscaff,92.7
¿Nos puede comentar por qué no ha usado ScanScaff?,FALSE,NA,motivo_no_uso_scanscaff,NA,motivo_no_uso_scanscaff,motivo_no_uso_scanscaff,95.6
Evalúe su satisfacción con ScanScaff,FALSE,NA,satisfaccion_scanscaff,NA,satisfaccion_scanscaff,satisfaccion_scanscaff,97.4
"¿Conoce XR App? (La aplicación de construcción digital de ScaffCo, basada en realidad aumentada)",FALSE,NA,conoce_xr_app,NA,conoce_xr_app,conoce_xr_app,60.9
¿Ha usado XR App?,FALSE,NA,uso_xr_app,NA,uso_xr_app,uso_xr_app,96.3
Evalúe su satisfacción con XR App,FALSE,NA,satisfaccion_xr_app,NA,satisfaccion_xr_app,satisfaccion_xr_app,98.4
¿Nos puede comentar por qué no ha usado XR App?(Marque todas las que correspondan),FALSE,NA,motivo_no_uso_xr_app,NA,motivo_no_uso_xr_app,motivo_no_uso_xr_app,97.9
Indique 3 palabras con las que identifica a la marca ScaffCo,FALSE,NA,palabras_marca,NA,palabras_marca,palabras_marca_v1,61.8
Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Servicios de ScaffCo en general],TRUE,Servicios de ScaffCo en general,NA,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general,servicios_de_scaff_co_en_general_v2,61.8
Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Productos de ScaffCo en general],TRUE,Productos de ScaffCo en general,NA,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general,productos_de_scaff_co_en_general_v2,61.8
"¿Tiene algún comentario o sugerencia para nosotros? Indique cualquier punto que pudiera no estar cubierto en esta encuesta, recuerde que los mismos son anónimos",FALSE,NA,comentario_sugerencia,NA,comentario_sugerencia,comentario_sugerencia_v1,82
¿Quiere ser contactado para profundizar en sus respuestas?,FALSE,NA,quiere_contacto,NA,quiere_contacto,quiere_contacto,63.9
